,lnGdp_1,lnGdp_2,lnTrade_value,panel_number,reporter,partner,year_in_force,Reporter Latitude ,Reporter Longitude ,Partner Latitude,Partner Longitude
130,0.587283753,0.363071142,17.95333062,130,Turkey,Jordan,2011,38.963745,35.243322,30.585164,36.238414
131,0.737623595,-0.011714305,16.99698374,131,Turkey,Rep. of Korea,2013,38.963745,35.243322,35.907757,127.766922
132,-1.747917426,3.066243759,15.77715091,132,Turkey,Malaysia,2015,38.963745,35.243322,4.210484,101.975766
133,-1.833097368,6.004604031,11.04440873,133,Turkey,Mauritius,2013,38.963745,35.243322,-20.348404,57.552152
134,0.370851085,2.995205989,15.8635178,134,Turkey,Montenegro,2010,38.963745,35.243322,42.708678,19.37439
135,0.838522171,2.235955494,16.40626463,135,Turkey,Morocco,2006,38.963745,35.243322,31.791702,-7.09262
136,1.681094589,0.071607149,19.68714953,136,Turkey,Serbia,2010,38.963745,35.243322,44.016521,21.005859
137,0.263904431,1.799103646,14.80022712,137,Turkey,Bosnia Herzegovina,2003,38.963745,35.243322,43.915886,17.679076
138,-0.837968632,2.14061902,15.91430646,138,Turkey,Singapore,2017,38.963745,35.243322,1.352083,103.819836
139,1.020871653,0.984979893,17.61701495,139,Turkey,Tunisia,2005,38.963745,35.243322,33.886917,9.537499
140,1.545177246,0.220582789,15.19029038,140,Turkey,Albania,2008,38.963745,35.243322,41.153332,20.168331
141,0.450933124,0.904761181,18.75585841,141,Turkey,Egypt,2007,38.963745,35.243322,26.820553,30.802498
142,1.370365474,-0.280080271,20.39732896,142,Ukraine,Belarus,2006,48.379433,31.16558,53.709807,27.953389
143,0.38660242,0.57802294,16.46787439,143,Ukraine,Canada,2017,48.379433,31.16558,56.130366,-106.346771
144,1.171394239,0.515774985,19.02549766,144,Ukraine,Georgia,1996,48.379433,31.16558,42.315407,43.356892
145,1.945303951,-0.107255343,18.29604879,145,Ukraine,Azerbaijan,1996,48.379433,31.16558,40.143105,47.576927
146,2.295122725,-0.280897403,18.32525621,146,Ukraine,Kazakhstan,1998,48.379433,31.16558,48.019573,66.923684
147,1.288338433,0.411913991,15.90575454,147,Ukraine,Kyrgyzstan,1998,48.379433,31.16558,41.20438,74.766098
148,-0.140950519,5.730318295,14.8100245,148,Ukraine,Montenegro,2013,48.379433,31.16558,42.708678,19.37439
149,1.116219381,0.531057649,17.03512435,149,Ukraine,Armenia,1996,48.379433,31.16558,40.069099,45.038189
150,0.845459763,-0.284579509,16.76378187,150,Ukraine,Tajikistan,2002,48.379433,31.16558,38.861034,71.276093
151,1.005742912,-0.307444979,19.42853892,151,Ukraine,Turkmenistan,1995,48.379433,31.16558,38.969719,59.556278
152,0.892797298,-0.062383548,18.99766069,152,Ukraine,Uzbekistan,1996,48.379433,31.16558,41.377491,64.585262
153,-1.01401164,1.706614383,21.33248492,153,USA,Chile,2004,37.09024,-95.712891,-35.675147,-71.542969
154,-0.69569108,1.207465514,21.39209432,154,USA,Colombia,2012,37.09024,-95.712891,4.570868,-74.297333
155,0.237331609,0.58944158,22.85194457,155,USA,Australia,2005,37.09024,-95.712891,-25.274398,133.775136
156,1.005296942,0.126006493,22.08711105,156,USA,Israel,1985,37.09024,-95.712891,31.046051,34.851612
157,-1.088711795,1.41174025,19.20655601,157,USA,Jordan,2001,37.09024,-95.712891,30.585164,36.238414
158,-0.121780114,0.801332333,23.46437074,158,USA,Rep. of Korea,2012,37.09024,-95.712891,35.907757,127.766922
159,-1.959031978,1.24948628,20.03069769,159,USA,Bahrain,2006,37.09024,-95.712891,25.930414,50.637772
160,-0.794833101,1.315572365,19.81586282,160,USA,Morocco,2006,37.09024,-95.712891,31.791702,-7.09262
161,-0.429180494,1.400258384,19.12577908,161,USA,Oman,2009,37.09024,-95.712891,21.512583,55.923255
162,-0.77215359,1.707095065,20.70099261,162,USA,Panama,2012,37.09024,-95.712891,8.537981,-80.782127
163,-0.43292337,1.640960268,20.54899093,163,USA,Peru,2009,37.09024,-95.712891,-9.189967,-75.015152
164,0.343554365,0.389598615,22.89813894,164,USA,Singapore,2004,37.09024,-95.712891,1.352083,103.819836
165,0.167414585,1.132417529,22.47016211,165,EU-28,Algeria,2005,50.503887,4.469936,28.033886,1.659626
166,-0.859222359,1.272852031,20.56916629,166,EU-28,Cameroon,2014,50.503887,4.469936,7.369722,12.354722
167,0.089655828,0.720946961,23.68909943,167,EU-28,Canada,2017,50.503887,4.469936,56.130366,-106.346771
168,-0.038546855,1.025417032,21.89136565,168,EU-28,Chile,2005,50.503887,4.469936,-35.675147,-71.542969
169,0.285892828,0.899831458,21.30854541,169,EU-28,Colombia,2017,50.503887,4.469936,4.570868,-74.297333
170,0.225370132,1.093063307,19.6598323,170,EU-28,Georgia,2014,50.503887,4.469936,42.315407,43.356892
171,-0.314820286,0.767588475,20.88720348,171,EU-28,Ghana,2016,50.503887,4.469936,7.946527,-1.023194
172,-0.450787173,1.410979452,21.219089,172,EU-28,Iceland,1973,50.503887,4.469936,64.963051,-19.020835
173,0.269298653,0.376660846,23.43005559,173,EU-28,Israel,2000,50.503887,4.469936,31.046051,34.851612
174,0.836105656,0.315358712,21.16156243,174,EU-28,Jordan,2002,50.503887,4.469936,30.585164,36.238414
175,0.607084311,0.686004651,23.4571621,175,EU-28,Rep. of Korea,2011,50.503887,4.469936,35.907757,127.766922
176,0.342838081,0.742509451,21.73532899,176,EU-28,Lebanon,2003,50.503887,4.469936,33.854721,35.862285
177,0.410429132,1.397819218,23.29813192,177,EU-28,Mexico,2000,50.503887,4.469936,23.634501,-102.552784
178,2.040314037,0.812049981,20.29760056,178,EU-28,Montenegro,2010,50.503887,4.469936,42.708678,19.37439
179,0.247735396,1.028894136,22.69962656,179,EU-28,Morocco,2000,50.503887,4.469936,31.791702,-7.09262
180,0.521195123,0.601269783,23.91261111,180,EU-28,Norway,1973,50.503887,4.469936,60.472024,8.468946
181,0.408944783,0.583660722,17.28092056,181,EU-28,Papua New Guinea,2009,50.503887,4.469936,-6.314993,143.95555
182,0.0795849,1.192575038,20.67271208,182,EU-28,Peru,2013,50.503887,4.469936,-9.189967,-75.015152
183,0.644236565,0.873418109,22.7568466,183,EU-28,Serbia,2013,50.503887,4.469936,44.016521,21.005859
184,2.674308364,-0.622046171,21.26882915,184,EU-28,Bosnia Herzegovina,2015,50.503887,4.469936,43.915886,17.679076
185,0.744822771,0.483126319,23.10822993,185,EU-28,South Africa,2000,50.503887,4.469936,-30.559482,22.937506
186,0.168181795,0.994799991,24.93360041,186,EU-28,Switzerland,1973,50.503887,4.469936,46.818188,8.227512
187,0.274050399,0.739333584,22.63654607,187,EU-28,Tunisia,1998,50.503887,4.469936,33.886917,9.537499
188,-0.950107385,1.593113539,20.50442576,188,EU-28,Albania,2009,50.503887,4.469936,41.153332,20.168331
189,0.807727568,0.697157001,22.33541532,189,EU-28,Ukraine,2014,50.503887,4.469936,48.379433,31.16558
190,0.593837158,0.504727997,22.76323827,190,EU-28,Egypt,2004,50.503887,4.469936,26.820553,30.802498
